almoine;mass;;;
almone;mass;;;
almoners;mass;;;
almones;mass;;;
almonirs;mass;;;
almosne;mass;;;
Almosne;mass;;;
almosne;mass;;;
almosners;mass;;;
almosners;mass;;;
almosnes;mass;;;
almosnes;mass;;;
alne;ind;;;
alnes;ind;;;
aloe;mass;;;
aloein;mass;;;
aloén;mass;;;
aloes;mass;;;
aloés;mass;;;
aloez;mass;;;
aloigne;event;;;
aloiiés;?;;;
aloiiet;?;;;
aloine;event;;;
alondres;ind;;;
alonge;event;;;
alonge;event;;;
alongne;event;;;
alongne;event;;;
alooirs;ind;;;
alooirs;ind;;;
Alpes;ind;;;
alqeton;ind;;;
alt;?;;;
alteil;rel-uniq;;;
alteir;rel-uniq;;;
alteiz;rel-uniq;;;
altel;rel-uniq;;;
alter;rel-uniq;;;
altercation;event;;;
altercation;event;;;
alters;rel-uniq;;;
alteus;rel-uniq;;;
altier;rel-uniq;;;
altr'ier;?;;;
Altra;pron;"n'est-ce pas des variante de ""autre"", si oui à supprimer";;
altra;pron;;;
altre;pron;;;
ALTRE;pron;;;
Altre;pron;;;
áltre;pron;;;
altrer;pron;;;
Altres;pron;;;
altres;pron;;;
altretel;pron;;;
altretele;pron;;;
altri;pron;;;
altrui;pron;;;
altruy;pron;;;
aluet;ind;;;
alun;mass;;;
alvens;ind;;;
alves;ind;;;
alyance;abs;;;
alyance;abs;;;
alyances;abs;;;
alyances;abs;;;
alyé;ind;;;
amademenz;event;;;
amainteivre;?;;;
Amalechite;ind;;;
Amalechites;ind;;;
amancor;ind;;;
amancors;ind;;;
amande;ind;;;
amandemant;event;;;
amandes;ind;;;
amandise;event;;;
amanrissement;event;;;
amans;ind;;;
amant;ind;;;
Amanz;ind;;;
amanz;ind;;;
amaran;ind;;;
amaritain;ind;;;
amaritains;ind;;;
amariteit;?;;;
amartume;abs;;;
amas;ind;;;
amassee;?;;;
Amatistus;na;;;
amaz;ind;;;
ambasadour;ind;;;
ambassade;ind;;;
ambassades;ind;;;
ambassadeur;ind;;;
ambassadeurs;ind;;;
ambassadour;ind;;;
ambassadours;ind;;;
ambassours;ind;;;
ambaxade;ind;;;
ambaxadeurs;ind;;;
ambition;abs;;;
ambition;abs;;;
amblant;abs;;;
ambleure;abs;;;
ambleure;abs;;;
ambra;mass;;;
Ambra;mass;;;
ambre;mass;;;
ambrisien;ind;;;
ambrisiens;ind;;;
ambrissien;ind;;;
ambrissiens;ind;;;
Ame;rel-uniq;;;
ame;rel-uniq;;;
âme;rel-uniq;;;
amedi;?;;;
ameisement;ind;;;
amen_de;ind;;;
amen_de;ind;;;
amendance;event;;;
amende;ind;;;
amendeir;event;;;
amendement;event;;;
Amendement;event;;;
amender;event;;;
amendes;ind;;;
amendise;ind;;;
amendize;ind;;;
amener;?;;;
amenuissance;event;;;
ameor;abs;;;
ameor;abs;;;
amer;abs;;;
ameres;abs;;;
amerres;abs;;;
amerres;abs;;;
amerté;abs;;;
amertét;abs;;;
amertét;abs;;;
amertors;abs;;;
amertume;abs;;;
amertume;abs;;;
ames;rel-uniq;;;
amestistes;ind;;;
amet;ind;;;
Amethystus;ind;;;
ametiste;ind;;;
Ametiste;ind;;;
ametistes;ind;;;
amez;rel-uniq;;;
Amfant;ind;;;
amfant;ind;;;
amfanz;ind;;;
amfermetét;abs;;;
amfermetét;abs;;;
AMI;ind;;;
Ami;ind;;;
ami;ind;;;
amí;ind;;;
ámi;ind;;;
amiable;?;;;
amic;ind;;;
amics;ind;;;
Amicx;ind;;;
AMIE;ind;;;
Amie;ind;;;
amie;ind;;;
amies;ind;;;
amïete;ind;;;
amin;ind;;;
aministration;abs;;;
aministration;abs;;;
aministrement;abs;;;
aministremenz;abs;;;
amins;ind;;;
amirafles;ind;;;
amirail;rel-uniq;;;
amiraill;rel-uniq;;;
amiral;rel-uniq;;;
amirals;rel-uniq;;;
amiralz;rel-uniq;;;
amirauls;rel-uniq;;;
Amiraus;rel-uniq;;;
amiraus;rel-uniq;;;
Amiraut;rel-uniq;;;
amiraut;rel-uniq;;;
amirauz;rel-uniq;;;
Amis;ind;;;
amis;ind;;;
AMIS;ind;;;
amís;ind;;;
amises;ind;;;
amisté;abs;;;
amisté;abs;;;
amistét;abs;;;
amistét;abs;;;
amistez;abs;;;
amistie;abs;;;
amistié;abs;;;
amistié;abs;;;
amistiet;abs;;;
amistiez;abs;;;
Amistunte;abs;;;
amit;ind;;;
